"","Country","Code","SDG","Year","Value"
"491","Uruguay","URY","14_1_1_1","2017",31.1386836311587
"492","Uruguay","URY","14_1_1_1","2018",34.7339456406854
"493","Vanuatu","VUT","14_1_1_1","2016",30.604188434106
"494","Vanuatu","VUT","14_1_1_1","2017",29.3076935676446
"495","Vanuatu","VUT","14_1_1_1","2018",29.2158406538632
"496","Venezuela","VEN","14_1_1_1","2016",24.7933293350148
"497","Venezuela","VEN","14_1_1_1","2017",23.1828155244165
"498","Venezuela","VEN","14_1_1_1","2018",23.388733421842
"499","Vietnam","VNM","14_1_1_1","2016",20.8044159626013
"500","Vietnam","VNM","14_1_1_1","2017",22.9255459110389
"501","Vietnam","VNM","14_1_1_1","2018",20.7343788142551
"20","Albania","ALB","14_1_1_2","2001",93.39
"21100","Albania","ALB","14_1_1_2","2002",89.86
"2242","Albania","ALB","14_1_1_2","2003",99.6
"2310","Albania","ALB","14_1_1_2","2004",80.82
"249","Albania","ALB","14_1_1_2","2005",93.25
"25","Albania","ALB","14_1_1_2","2006",95.5
"26","Albania","ALB","14_1_1_2","2007",92.86
"27","Albania","ALB","14_1_1_2","2008",85.32
"28","Albania","ALB","14_1_1_2","2009",93.81
"2949","Albania","ALB","14_1_1_2","2010",78.92
"3089","Albania","ALB","14_1_1_2","2011",85.98
"31100","Albania","ALB","14_1_1_2","2012",93.65
"32100","Albania","ALB","14_1_1_2","2013",96.03
"3316","Albania","ALB","14_1_1_2","2014",97.35
"3410","Albania","ALB","14_1_1_2","2015",95.68
"3510","Albania","ALB","14_1_1_2","2016",98.41
"36100","Albania","ALB","14_1_1_2","2018",95.5
"37100","Algeria","DZA","14_1_1_2","2000",98.91
"38100","Algeria","DZA","14_1_1_2","2001",96.9
"39100","Algeria","DZA","14_1_1_2","2002",91.95
"4047","Algeria","DZA","14_1_1_2","2003",99.56
"4127","Algeria","DZA","14_1_1_2","2004",97.34
"4210","Algeria","DZA","14_1_1_2","2005",94.42
"4310","Algeria","DZA","14_1_1_2","2006",94.89
"4410","Algeria","DZA","14_1_1_2","2007",93.88
"4510","Algeria","DZA","14_1_1_2","2008",99.38
"4610","Algeria","DZA","14_1_1_2","2009",94.46
"4710","Algeria","DZA","14_1_1_2","2010",96.4
"4810","Algeria","DZA","14_1_1_2","2011",99.77
"4910","Algeria","DZA","14_1_1_2","2012",98.49
"5010","Algeria","DZA","14_1_1_2","2013",78.16
"5110","Algeria","DZA","14_1_1_2","2014",75.52
"5210","Algeria","DZA","14_1_1_2","2015",96.1
"5310","Algeria","DZA","14_1_1_2","2016",98.68
"5410","Algeria","DZA","14_1_1_2","2017",99.03
"5510","Algeria","DZA","14_1_1_2","2018",95
"5610","Algeria","DZA","14_1_1_2","2019",98.58
"5710","American Samoa","ASM","14_1_1_2","2000",99.68
"5810","American Samoa","ASM","14_1_1_2","2001",99.12
"592","American Samoa","ASM","14_1_1_2","2002",97.5
"601","American Samoa","ASM","14_1_1_2","2003",92.31
"611","American Samoa","ASM","14_1_1_2","2004",96.56
"6210","American Samoa","ASM","14_1_1_2","2005",99.42
"632","American Samoa","ASM","14_1_1_2","2006",99.34
"641","American Samoa","ASM","14_1_1_2","2007",97.59
"651","American Samoa","ASM","14_1_1_2","2008",97
"6610","American Samoa","ASM","14_1_1_2","2009",98.14
"6710","American Samoa","ASM","14_1_1_2","2010",99.31
"6810","American Samoa","ASM","14_1_1_2","2011",94.25
