"","Country","Year","Value_sum","SDG"
"980","British Virgin Islands",2006,2.076138,"14"
"1140","British Virgin Islands",2007,2.168138,"14"
"1300","British Virgin Islands",2008,3.260138,"14"
"1460","British Virgin Islands",2009,1.976138,"14"
"1620","British Virgin Islands",2010,1.984138,"14"
"1780","British Virgin Islands",2011,2.026138,"14"
"1940","British Virgin Islands",2012,2.634138,"14"
"2100","British Virgin Islands",2013,2.774138,"14"
"2260","British Virgin Islands",2014,3.506138,"14"
"2420","British Virgin Islands",2015,2.480138,"14"
"2580","British Virgin Islands",2016,3.678138,"14"
"2740","British Virgin Islands",2017,3.360138,"14"
"2900","British Virgin Islands",2018,3.254138,"14"
"3060","British Virgin Islands",2019,3.128138,"14"
"21","Brunei Darussalam",2000,1.774778,"14"
"181","Brunei Darussalam",2001,1.774778,"14"
"341","Brunei Darussalam",2002,1.774778,"14"
"501","Brunei Darussalam",2003,1.774778,"14"
"661","Brunei Darussalam",2004,1.774778,"14"
"821","Brunei Darussalam",2005,1.774778,"14"
"981","Brunei Darussalam",2006,1.498778,"14"
"1141","Brunei Darussalam",2007,1.622778,"14"
"1301","Brunei Darussalam",2008,1.638778,"14"
"1461","Brunei Darussalam",2009,1.968778,"14"
"1621","Brunei Darussalam",2010,1.498778,"14"
"1781","Brunei Darussalam",2011,1.804778,"14"
"1941","Brunei Darussalam",2012,1.59193128159673,"14"
"2101","Brunei Darussalam",2013,1.670276,"14"
"2261","Brunei Darussalam",2014,1.944386,"14"
"2421","Brunei Darussalam",2015,1.614496,"14"
"2581","Brunei Darussalam",2016,2.17912705679726,"14"
"2741","Brunei Darussalam",2017,1.73825,"14"
"2901","Brunei Darussalam",2018,1.68025,"14"
"3061","Brunei Darussalam",2019,2.32425,"14"
"22","Bulgaria",2000,41.220622,"14"
"182","Bulgaria",2001,42.170494,"14"
"342","Bulgaria",2002,47.498466,"14"
"502","Bulgaria",2003,47.498466,"14"
"662","Bulgaria",2004,47.498734,"14"
"822","Bulgaria",2005,47.540144,"14"
"982","Bulgaria",2006,46.240144,"14"
"1142","Bulgaria",2007,57.473556,"14"
"1302","Bulgaria",2008,57.807556,"14"
"1462","Bulgaria",2009,59.259556,"14"
"1622","Bulgaria",2010,56.543556,"14"
"1782","Bulgaria",2011,57.489556,"14"
"1942","Bulgaria",2012,57.2013900708079,"14"
"2102","Bulgaria",2013,58.95134,"14"
"2262","Bulgaria",2014,57.35739,"14"
"2422","Bulgaria",2015,57.80744,"14"
"2582","Bulgaria",2016,58.1233935472073,"14"
"2742","Bulgaria",2017,57.489242,"14"
"2902","Bulgaria",2018,57.699242,"14"
"3062","Bulgaria",2019,58.111242,"14"
"23","Cabo Verde",2000,36.92716,"14"
"183","Cabo Verde",2001,36.92716,"14"
